Using device: Wireless Controller (/dev/input/event13)
Control 4 moved to position 125.
Control 4 moved to position 126.
Control 4 moved to position 125.
Control 4 moved to position 126.
Control 4 moved to position 125.
Control 4 moved to position 126.
Control 4 moved to position 125.
Control 4 moved to position 126.
Control 4 moved to position 125.
Control 4 moved to position 126.
Control 4 moved to position 125.
Control 4 moved to position 126.
Control 4 moved to position 125.
Control 4 moved to position 126.
Control 4 moved to position 125.
Control 4 moved to position 126.
Control 4 moved to position 125.
Control 4 moved to position 126.
Control 4 moved to position 125.
Control 4 moved to position 126.
Control 4 moved to position 125.
Control 3 moved to position 132.
Control 3 moved to position 131.
Control 4 moved to position 126.
Control 4 moved to position 125.
Control 4 moved to position 126.
Control 4 moved to position 125.
Control 4 moved to position 126.
Control 0 moved to position 128.
Control 4 moved to position 125.
Control 0 moved to position 127.
Control 4 moved to position 126.
Control 4 moved to position 125.
Control 4 moved to position 126.
Control 4 moved to position 125.
Control 4 moved to position 126.
Control 4 moved to position 125.
Control 4 moved to position 126.
Control 4 moved to position 125.
Control 4 moved to position 126.
Control 4 moved to position 125.
Control 4 moved to position 126.
Control 4 moved to position 125.
Control 4 moved to position 126.
Control 4 moved to position 125.
Control 4 moved to position 126.
Control 4 moved to position 125.
Control 4 moved to position 126.
Control 4 moved to position 125.
Control 4 moved to position 126.
Control 4 moved to position 125.
Control 4 moved to position 126.
Control 4 moved to position 125.
Control 4 moved to position 126.
Control 4 moved to position 125.
Control 4 moved to position 126.
Control 4 moved to position 125.
Control 4 moved to position 126.
Control 4 moved to position 125.
Control 4 moved to position 126.
Control 4 moved to position 125.
Control 4 moved to position 126.
Control 4 moved to position 125.
Control 4 moved to position 126.
Control 0 moved to position 128.
Control 4 moved to position 125.
Control 0 moved to position 127.
Control 4 moved to position 126.
Control 0 moved to position 128.
Control 4 moved to position 125.
Control 0 moved to position 127.
Control 4 moved to position 126.
Control 4 moved to position 125.
Control 4 moved to position 126.
Control 4 moved to position 125.
Control 4 moved to position 126.
Control 4 moved to position 125.
Control 4 moved to position 126.
Control 4 moved to position 125.
Control 4 moved to position 126.
Control 4 moved to position 125.
Control 4 moved to position 126.
Control 4 moved to position 125.
Control 4 moved to position 126.
Control 4 moved to position 125.
Control 4 moved to position 126.
Control 4 moved to position 125.
Control 4 moved to position 126.
Control 4 moved to position 125.
Control 4 moved to position 126.
Control 4 moved to position 125.
Control 4 moved to position 126.
Control 4 moved to position 125.
Control 4 moved to position 126.
Control 4 moved to position 125.
Control 4 moved to position 126.
Control 4 moved to position 125.
Control 4 moved to position 126.
Control 4 moved to position 125.
Control 4 moved to position 126.
Control 4 moved to position 125.
Control 4 moved to position 126.
Control 4 moved to position 125.
Control 4 moved to position 126.
Control 4 moved to position 125.
Control 4 moved to position 126.
Control 0 moved to position 128.
Control 4 moved to position 125.
Control 0 moved to position 127.
Control 4 moved to position 126.
Control 4 moved to position 125.
Control 4 moved to position 126.
Control 4 moved to position 125.
Control 4 moved to position 126.
Control 4 moved to position 125.
Control 4 moved to position 126.
Control 4 moved to position 125.
Control 4 moved to position 126.
Control 4 moved to position 125.
Control 4 moved to position 126.
Control 4 moved to position 125.
Control 4 moved to position 126.
Control 4 moved to position 125.
Control 4 moved to position 126.
Control 4 moved to position 125.
Control 4 moved to position 126.
Control 4 moved to position 125.
Control 4 moved to position 126.
Control 4 moved to position 125.
Control 4 moved to position 126.
Control 4 moved to position 125.
Control 4 moved to position 126.
Control 4 moved to position 125.
Control 4 moved to position 126.
Control 4 moved to position 125.
Control 4 moved to position 126.
Control 4 moved to position 125.
Control 4 moved to position 126.
Control 4 moved to position 125.
Control 4 moved to position 126.
Control 4 moved to position 125.
Control 0 moved to position 128.
Control 0 moved to position 127.
Control 4 moved to position 126.
Control 4 moved to position 125.
Control 4 moved to position 126.
Control 4 moved to position 125.
Control 4 moved to position 126.
Control 4 moved to position 125.
Control 4 moved to position 126.
Control 4 moved to position 125.
Control 4 moved to position 126.
Control 4 moved to position 125.
Control 4 moved to position 126.
Control 4 moved to position 125.
Control 4 moved to position 126.
Control 4 moved to position 125.
Control 4 moved to position 126.
Control 4 moved to position 125.
Control 4 moved to position 126.
Control 4 moved to position 125.
Control 4 moved to position 126.
Control 4 moved to position 125.
Control 4 moved to position 126.
Control 4 moved to position 125.
Control 4 moved to position 126.
Control 4 moved to position 125.
Control 4 moved to position 126.
Control 4 moved to position 125.
Control 4 moved to position 126.
Control 4 moved to position 125.
Control 4 moved to position 126.
Control 4 moved to position 125.
Control 0 moved to position 128.
Control 0 moved to position 127.
Control 4 moved to position 126.
Control 4 moved to position 125.
Control 4 moved to position 126.
Control 4 moved to position 125.
Control 4 moved to position 126.
Control 4 moved to position 125.
Control 4 moved to position 126.
Control 4 moved to position 125.
Control 4 moved to position 126.
Control 4 moved to position 125.
Control 4 moved to position 126.
Control 4 moved to position 125.
Control 4 moved to position 126.
Control 4 moved to position 125.
Control 4 moved to position 126.
Control 4 moved to position 125.
Control 4 moved to position 126.
Control 4 moved to position 125.
Control 4 moved to position 126.
Control 4 moved to position 125.
Control 4 moved to position 126.
Control 4 moved to position 125.
Control 4 moved to position 126.
Control 4 moved to position 125.
Control 4 moved to position 126.
Control 4 moved to position 125.
Control 4 moved to position 126.
Control 4 moved to position 125.
Control 4 moved to position 126.
Control 4 moved to position 125.
Control 4 moved to position 126.
Control 0 moved to position 128.
Control 4 moved to position 125.
Control 0 moved to position 127.
Control 4 moved to position 126.
Control 4 moved to position 125.
Control 4 moved to position 126.
Control 4 moved to position 125.
Control 4 moved to position 126.
Control 4 moved to position 125.
Control 4 moved to position 126.
Control 4 moved to position 125.
Control 4 moved to position 126.
Control 4 moved to position 125.
Control 4 moved to position 126.
Control 4 moved to position 125.
Control 4 moved to position 126.
Control 4 moved to position 125.
Control 4 moved to position 126.
Control 4 moved to position 125.
Control 4 moved to position 126.
Control 4 moved to position 125.
Control 4 moved to position 126.
Control 4 moved to position 125.
Control 4 moved to position 126.
Control 4 moved to position 125.
Control 4 moved to position 126.
Control 4 moved to position 125.
Control 4 moved to position 126.
Control 4 moved to position 125.
Control 4 moved to position 126.
Control 4 moved to position 125.
Control 4 moved to position 126.
Control 4 moved to position 125.
Control 4 moved to position 126.
Control 0 moved to position 128.
Control 4 moved to position 125.
Control 0 moved to position 127.
Control 4 moved to position 126.
Control 4 moved to position 125.
Control 4 moved to position 126.
Control 4 moved to position 125.
Control 4 moved to position 126.
Control 4 moved to position 125.
Control 4 moved to position 126.
Control 4 moved to position 125.
Control 4 moved to position 126.
Control 4 moved to position 125.
Control 4 moved to position 126.
Control 4 moved to position 125.
Control 4 moved to position 126.
Control 4 moved to position 125.
Control 4 moved to position 126.
Control 4 moved to position 125.
Control 4 moved to position 126.
Control 4 moved to position 125.
Control 4 moved to position 126.
Control 4 moved to position 125.
Control 0 moved to position 128.
Control 0 moved to position 127.
Control 4 moved to position 126.
Control 4 moved to position 125.
Control 4 moved to position 126.
Control 4 moved to position 125.
Control 4 moved to position 126.
Control 0 moved to position 128.
Control 4 moved to position 125.
Control 0 moved to position 127.
Control 4 moved to position 126.
Control 4 moved to position 125.
Control 4 moved to position 126.
Control 4 moved to position 125.
Control 4 moved to position 126.
Control 4 moved to position 125.
Control 4 moved to position 126.
Control 4 moved to position 125.
Control 4 moved to position 126.
Control 4 moved to position 125.
Control 4 moved to position 126.
Control 4 moved to position 125.
Control 4 moved to position 126.
Control 4 moved to position 125.
Control 4 moved to position 126.
Control 4 moved to position 125.
Control 4 moved to position 126.
Control 4 moved to position 125.
Control 4 moved to position 126.
Control 4 moved to position 125.
Control 4 moved to position 126.
Control 4 moved to position 125.
Control 4 moved to position 126.
Control 4 moved to position 125.
Control 4 moved to position 126.
Control 4 moved to position 125.
Control 4 moved to position 126.
Control 4 moved to position 125.
Control 4 moved to position 126.
Control 4 moved to position 125.
Control 4 moved to position 126.
Control 4 moved to position 125.
Control 4 moved to position 126.
Control 4 moved to position 125.
Control 4 moved to position 126.
Control 4 moved to position 125.
Control 4 moved to position 126.
Control 4 moved to position 125.
Control 4 moved to position 126.
Control 4 moved to position 125.
Control 4 moved to position 126.
Control 4 moved to position 125.
Control 4 moved to position 126.
Control 4 moved to position 125.
Control 4 moved to position 126.
Control 4 moved to position 125.
Control 4 moved to position 126.
Control 4 moved to position 125.
Control 4 moved to position 126.
Control 4 moved to position 125.
Control 4 moved to position 126.
Control 4 moved to position 125.
Control 4 moved to position 126.
Control 4 moved to position 125.
Control 4 moved to position 126.
Control 4 moved to position 125.
Control 4 moved to position 126.
Control 4 moved to position 125.
Control 4 moved to position 126.
